                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.54923,                 1.1418,                 1.0964,                0.96331,                0.89998,                0.95943,                 0.9063,                0.27632,                0.35903,                0.92011,              0.0092278,              0.0092278,              0.0092278
                     80,                0.55256,                 1.1458,                 1.0979,                0.96597,                0.90776,                0.96169,                0.90903,                0.27299,                0.34708,                0.91811,              0.0092179,              0.0092179,              0.0092179
                     81,                0.55278,                 1.1504,                  1.101,                0.73263,                0.55373,                0.65993,                0.59034,                0.41276,                 1.7086,                 1.0297,               0.009208,               0.009208,               0.009208
                     82,                0.54815,                 1.1276,                 1.0949,                0.70344,                0.48534,                0.58448,                0.51436,                0.45248,                 2.0635,                 1.0609,              0.0091981,              0.0091981,              0.0091981
                     83,                0.55058,                 1.1535,                 1.0998,                0.96449,                0.90424,                0.95943,                0.90666,                0.27122,                0.35493,                0.91398,              0.0091882,              0.0091882,              0.0091882
                     84,                0.55269,                 1.1534,                 1.1013,                0.65165,                0.43343,                0.51448,                0.45299,                0.44708,                 2.4737,                  1.065,              0.0091783,              0.0091783,              0.0091783
                     85,                0.55143,                 1.1354,                 1.0985,                0.96284,                0.91024,                0.96291,                 0.9114,                0.26928,                0.34174,                0.91411,              0.0091684,              0.0091684,              0.0091684
                     86,                0.55011,                 1.1319,                 1.0976,                0.96175,                0.91031,                0.96356,                0.91158,                 0.2691,                0.34365,                 0.9136,              0.0091585,              0.0091585,              0.0091585
                     87,                0.55112,                 1.1355,                 1.1003,                0.96267,                0.91275,                0.96394,                 0.9129,                0.26751,                0.33886,                0.91335,              0.0091486,              0.0091486,              0.0091486
                     88,                0.54948,                 1.1383,                 1.0997,                 0.9684,                 0.9026,                0.96146,                0.91021,                0.26733,                0.34755,                 0.9138,              0.0091387,              0.0091387,              0.0091387
                     89,                0.55273,                 1.1314,                 1.1011,                0.95367,                0.89005,                0.95363,                0.89988,                0.27564,                0.39651,                0.91826,              0.0091288,              0.0091288,              0.0091288
                     90,                0.54631,                 1.1259,                 1.0962,                0.94599,                0.87803,                0.94601,                0.88564,                0.29265,                0.43962,                0.92989,              0.0091189,              0.0091189,              0.0091189
                     91,                 0.5465,                 1.1235,                 1.0968,                0.84698,                0.74169,                 0.8528,                0.77946,                0.35039,                0.86069,                0.97386,               0.009109,               0.009109,               0.009109
                     92,                0.54889,                 1.1217,                 1.0982,                 0.8075,                0.69113,                0.80479,                0.72454,                0.38263,                 1.0504,                0.99829,              0.0090991,              0.0090991,              0.0090991
                     93,                0.54289,                 1.1125,                 1.0934,                0.75221,                0.60786,                0.72183,                0.64397,                0.40294,                 1.4166,                 1.0167,              0.0090892,              0.0090892,              0.0090892
                     94,                0.54907,                 1.1308,                 1.0953,                0.70465,                0.52204,                0.62504,                0.55315,                0.43015,                 1.8519,                 1.0407,              0.0090793,              0.0090793,              0.0090793
                     95,                0.54953,                 1.1259,                 1.0962,                0.96234,                0.92007,                0.96664,                 0.9164,                0.26242,                0.32397,                 0.9096,              0.0090694,              0.0090694,              0.0090694
                     96,                0.54602,                 1.1178,                 1.0935,                0.88136,                0.78712,                0.88795,                0.80933,                0.35022,                0.68822,                0.97123,              0.0090595,              0.0090595,              0.0090595
                     97,                0.54755,                 1.1151,                 1.0972,                0.76756,                0.64931,                0.75809,                0.67673,                0.40488,                 1.2681,                 1.0167,              0.0090496,              0.0090496,              0.0090496
                     98,                0.54798,                 1.1146,                 1.0971,                0.96869,                0.91672,                0.96721,                0.91732,                0.26082,                0.32047,                0.90839,              0.0090397,              0.0090397,              0.0090397
                     99,                0.54565,                 1.1108,                 1.0962,                0.82825,                0.71382,                  0.828,                0.75333,                 0.3608,                0.93905,                0.98193,              0.0090298,              0.0090298,              0.0090298
                    100,                0.54485,                 1.1094,                 1.0948,                0.97136,                0.91832,                0.96774,                0.91796,                0.26141,                0.31611,                0.90909,              0.0090199,              0.0090199,              0.0090199
                    101,                0.54489,                 1.1105,                  1.093,                0.96929,                0.91152,                0.96536,                0.91602,                0.25988,                0.32494,                0.90723,                0.00901,                0.00901,                0.00901
                    102,                0.54668,                 1.1098,                 1.0945,                0.96845,                0.91997,                0.96785,                 0.9189,                0.25763,                0.31534,                0.90579,              0.0090001,              0.0090001,              0.0090001
                    103,                0.54174,                 1.1045,                 1.0926,                0.92221,                0.85993,                0.93499,                0.87722,                0.28616,                0.47503,                0.92584,              0.0089902,              0.0089902,              0.0089902
                    104,                0.54216,                 1.1075,                 1.0916,                0.85312,                0.74291,                0.85458,                0.78743,                0.32817,                  0.825,                0.95774,              0.0089803,              0.0089803,              0.0089803
                    105,                0.54188,                  1.102,                  1.091,                0.97176,                0.91902,                0.96861,                0.91945,                0.25684,                0.31277,                 0.9055,              0.0089704,              0.0089704,              0.0089704
                    106,                0.54206,                 1.0974,                 1.0913,                0.97261,                 0.9204,                0.96912,                0.92087,                 0.2561,                0.30932,                0.90446,              0.0089605,              0.0089605,              0.0089605
                    107,                0.54385,                 1.1096,                 1.0922,                0.87213,                0.79218,                0.89019,                0.81855,                0.33012,                0.68802,                0.95614,              0.0089506,              0.0089506,              0.0089506
                    108,                0.54324,                 1.1134,                 1.0966,                0.84245,                0.73433,                0.84394,                0.76905,                0.35214,                0.88641,                0.97364,              0.0089407,              0.0089407,              0.0089407
                    109,                0.54248,                 1.0951,                 1.0922,                0.96798,                0.91874,                0.96786,                0.91975,                0.25554,                0.31328,                0.90397,              0.0089308,              0.0089308,              0.0089308
                    110,                0.54229,                 1.0864,                 1.0891,                0.96906,                0.92209,                0.96909,                0.92122,                0.25535,                0.31131,                0.90415,              0.0089209,              0.0089209,              0.0089209
                    111,                 0.5438,                 1.0933,                 1.0908,                0.97254,                0.92085,                0.96981,                0.92116,                0.25631,                0.30916,                0.90473,               0.008911,               0.008911,               0.008911
                    112,                0.53819,                 1.0846,                 1.0869,                0.96365,                0.91974,                0.96717,                0.91876,                0.25601,                  0.317,                0.90327,              0.0089011,              0.0089011,              0.0089011
                    113,                0.54154,                 1.1063,                 1.0927,                 0.7441,                0.58372,                0.69763,                0.61425,                0.42557,                 1.5153,                 1.0296,              0.0088912,              0.0088912,              0.0088912
                    114,                0.54036,                 1.0817,                 1.0885,                0.77416,                0.63261,                0.74675,                0.65528,                0.42995,                 1.2853,                 1.0312,              0.0088813,              0.0088813,              0.0088813
                    115,                0.54373,                 1.0824,                  1.091,                0.83561,                0.74128,                0.84662,                0.75976,                0.38061,                0.86955,                0.99171,              0.0088714,              0.0088714,              0.0088714
                    116,                0.53941,                  1.087,                 1.0889,                0.90069,                0.83104,                0.91662,                0.84362,                0.32456,                0.57906,                  0.951,              0.0088615,              0.0088615,              0.0088615
                    117,                0.54216,                 1.0821,                   1.09,                 0.9716,                0.92024,                0.96857,                0.91947,                0.25409,                0.30862,                0.90241,              0.0088516,              0.0088516,              0.0088516
                    118,                0.54245,                 1.0903,                 1.0908,                0.96741,                0.92337,                0.96808,                0.91899,                0.25432,                0.31058,                0.90273,              0.0088417,              0.0088417,              0.0088417
                    119,                0.54379,                 1.0823,                 1.0933,                0.96903,                0.92626,                0.96929,                0.92078,                0.25256,                0.30558,                0.90125,              0.0088318,              0.0088318,              0.0088318
                    120,                0.53928,                 1.0774,                 1.0883,                0.97221,                0.92454,                0.96988,                0.92182,                0.25186,                0.30355,                0.90074,              0.0088219,              0.0088219,              0.0088219
                    121,                0.53862,                 1.0758,                 1.0914,                0.97398,                0.92372,                0.97009,                0.92217,                0.25241,                0.30295,                0.90137,               0.008812,               0.008812,               0.008812
                    122,                0.53699,                 1.0807,                 1.0884,                0.97253,                0.92231,                0.96933,                0.92132,                0.25306,                0.30643,                0.90131,              0.0088021,              0.0088021,              0.0088021
                    123,                 0.5381,                 1.0826,                 1.0904,                0.96593,                0.91402,                0.96466,                0.91392,                0.26078,                0.32725,                0.90672,              0.0087922,              0.0087922,              0.0087922
                    124,                0.53783,                 1.0813,                 1.0912,                0.93669,                0.87596,                0.94377,                0.88086,                0.29358,                0.44804,                0.92903,              0.0087823,              0.0087823,              0.0087823
                    125,                0.54616,                 1.0918,                 1.0927,                0.93974,                0.87531,                0.94424,                0.88065,                0.29482,                0.44674,                0.92973,              0.0087724,              0.0087724,              0.0087724
